Top queries,Clicks,Impressions,CTR,Position,is_branded,CTR_pct
cursos limpieza online,0,3,0%,10.0,False,0.0
cursos online de limpieza,0,1,0%,12.0,False,0.0
ph de los productos de limpieza,0,1,0%,61.0,False,0.0
cursos de limpieza en línea,0,1,0%,75.0,False,0.0
